"","x","mean","lower","upper"
"1","<1990",0.163187855787476,0.150305308995506,0.176070402579446
"2","1990-1995",0.173528411024158,0.159834439040682,0.187222383007634
"3","1995-2000",0.19327880512091,0.182957707655152,0.203599902586668
"4","2000-2005",0.210694503621645,0.204861190822119,0.21652781642117
"5","2005-2010",0.241677588466579,0.237149248700079,0.246205928233079
"6","2010-2018",0.2919206105252,0.28867700623277,0.295164214817631
