"","x","mean","lower","upper"
"1","<1990",2.32395317424584,2.26521845203102,2.38268789646065
"2","1990-1995",2.88688071443759,2.75409369340697,3.01966773546822
"3","1995-2000",3.24136782502498,3.17193652814947,3.31079912190049
"4","2000-2005",3.53277574934194,3.49044637943574,3.57510511924814
"5","2005-2010",3.8795892494929,3.84867150948632,3.91050698949948
"6","2010-2018",4.83865709074327,4.81108833851309,4.86622584297346
