"","x","mean","lower","upper"
"1","<1990",0.151187904967603,0.138852657392748,0.163523152542457
"2","1990-1995",0.204068022674225,0.189641365490207,0.218494679858243
"3","1995-2000",0.255345911949686,0.24388803234943,0.266803791549941
"4","2000-2005",0.30453934998657,0.297927938228051,0.311150761745088
"5","2005-2010",0.348585543727577,0.343520676511392,0.353650410943763
"6","2010-2018",0.423812585389376,0.420267802727905,0.427357368050846
