"","x","group","mean","lower","upper","N"
"1","<1990","<=10",0.274022652539277,0.159256058734265,0.46299194053845,5474
"2","<1990",">10",0,0,0.803723225821285,592
"3","1990-1995","<=10",0.392290636193075,0.254735936837108,0.598201333746594,5863
"4","1990-1995",">10",0,0,1.15995204401346,409
"5","1995-2000","<=10",0.678879310344828,0.526281388517348,0.873599667839522,9280
"6","1995-2000",">10",0,0,0.795711156142931,598
"7","2000-2005","<=10",0.411432573204359,0.334387332855947,0.505587863404758,22847
"8","2000-2005",">10",0.552104899930987,0.256940210923795,1.13110905531761,1449
"9","2005-2010","<=10",10.5890584912017,10.2846833705643,10.9013129118892,38587
"10","2005-2010",">10",50.6983240223464,48.5614546569133,52.8326726712705,2148
"11","2010-2018","<=10",43.8665770458746,43.5293168868726,44.2044037883368,83314
"12","2010-2018",">10",85.5256643010398,84.6087719129527,86.3971189979824,6059
