"","x","group","mean","lower","upper","N"
"1","<1990","jif",63.5115186994478,63.1679398877446,63.8550975111511,6066
"2","1990-1995","jif",62.7874025328363,62.4389930423152,63.1358120233573,6272
"3","1995-2000","jif",59.5124583527809,59.1687835312707,59.8561331742912,9878
"4","2000-2005","jif",57.1329612549088,56.8855957100501,57.3803267997675,24296
"5","2005-2010","jif",54.2764129804175,54.0699612062985,54.4828647545366,40735
"6","2010-2018","jif",50.8736037230023,50.7261904181194,51.0210170278851,89373
