"","x","mean","lower","upper","N"
"1","<1990",1.12192424661322,1.10656436222471,1.13728413100172,6066
"2","1990-1995",1.20455095618494,1.18196189403862,1.22714001833127,6272
"3","1995-2000",1.31946354883081,1.30088333717692,1.3380437604847,9878
"4","2000-2005",1.43185968488555,1.41793268150931,1.44578668826179,24296
"5","2005-2010",1.51687474624442,1.50509997404428,1.52864951844455,40735
"6","2010-2018",1.67657326701045,1.66696186377797,1.68618467024294,89373
