"","x","group","mean","lower","upper","N"
"1","<1990","<=3",63.4500403211495,63.0093879845578,63.8906926577412,3920
"2","<1990",">3",63.62500104843,63.0822547452446,64.1677473516154,2146
"3","1990-1995","<=3",63.3269507316875,62.9202044833145,63.7336969800606,4429
"4","1990-1995",">3",61.5006967296644,60.833525929646,62.1678675296828,1843
"5","1995-2000","<=3",60.5975996359372,60.1978590410795,60.9973402307949,6459
"6","1995-2000",">3",57.4653610510724,56.8265278207414,58.1041942814034,3419
"7","2000-2005","<=3",58.8100435160672,58.511420659152,59.1086663729824,14976
"8","2000-2005",">3",54.4497752645175,54.0249347296833,54.8746157993518,9320
"9","2005-2010","<=3",56.1359643399142,55.874264993544,56.3976636862843,23635
"10","2005-2010",">3",51.7109830155723,51.3817073855026,52.0402586456419,17100
"11","2010-2018","<=3",53.1464310852626,52.9463015507857,53.3465606197395,46171
"12","2010-2018",">3",48.4493920435603,48.2344497070905,48.6643343800301,43202
