"","x","group","mean","lower","upper","N"
"1","<1990","jif",53.6565445466353,53.1174371828929,54.1956519103776,6066
"2","1990-1995","jif",52.6977889009821,52.1571643638267,53.2384134381375,6272
"3","1995-2000","jif",51.989914957675,51.5282592260615,52.4515706892884,9878
"4","2000-2005","jif",53.9709950194297,53.6724278977092,54.2695621411502,24296
"5","2005-2010","jif",55.0037656699594,54.7735882183614,55.2339431215575,40735
"6","2010-2018","jif",56.924880813197,56.771485799806,57.0782758265879,89373
