"","x","group","mean","lower","upper","N"
"1","<1990","<=5",56.8164974080568,56.3488242858149,57.2841705302987,5068
"2","<1990",">5",55.0417160432097,53.9794611401616,56.1039709462579,998
"3","1990-1995","<=5",54.6661444343765,54.1891595597492,55.1431293090039,5292
"4","1990-1995",">5",50.6967031094102,49.5807814809216,51.8126247378988,980
"5","1995-2000","<=5",50.1192902685251,49.6764151422357,50.5621653948145,7991
"6","1995-2000",">5",43.1238032259241,42.1106035478783,44.13700290397,1887
"7","2000-2005","<=5",45.7403931781841,45.4320432905323,46.048743065836,19687
"8","2000-2005",">5",41.4408036218817,40.7414764938452,42.1401307499182,4609
"9","2005-2010","<=5",41.782233176025,41.5328827833638,42.0315835686862,33717
"10","2005-2010",">5",37.1822254818668,36.6227641492236,37.7416868145099,7018
"11","2010-2018","<=5",37.2789482886272,37.1048039591174,37.453092618137,71974
"12","2010-2018",">5",32.9199460615567,32.5691367140918,33.2707554090216,17399
