"","x","mean","lower","upper","N"
"1","<1990",19.8411485740787,18.8523499406876,20.8299472074698,6066
"2","1990-1995",23.8139180923803,22.7394431446766,24.888393040084,6272
"3","1995-2000",28.48485751816,27.712926619727,29.2567884165931,9878
"4","2000-2005",31.1237367360116,30.730672046769,31.5168014252543,24296
"5","2005-2010",34.1632095442313,33.8782255593252,34.4481935291374,40735
"6","2010-2018",39.3437330446969,39.1534124053555,39.5340536840383,89373
