"","x","group","mean","lower","upper","N"
"1","<1990","jif",0.362677217276624,0.233082972475339,0.55845101062122,6066
"2","1990-1995","jif",1.05229591836735,0.821004010422894,1.34538773425997,6272
"3","1995-2000","jif",1.22494432071269,1.02158346074547,1.46710809254401,9878
"4","2000-2005","jif",2.354297003622,2.16906859067354,2.55475209968748,24296
"5","2005-2010","jif",6.71167300846938,6.47153260151745,6.96001836946993,40735
"6","2010-2018","jif",19.5215557271212,19.262449890475,19.7832871598837,89373
