"","x","mean","lower","upper"
"1","<1990",0.0334212350815652,0.0289143777997957,0.0379280923633346
"2","1990-1995",0.0352802283038473,0.0306527106381223,0.0399077459695722
"3","1995-2000",0.0365498287451784,0.0331864431473764,0.0399132143429804
"4","2000-2005",0.042285245892328,0.0400588801458188,0.0445116116388371
"5","2005-2010",0.0478781601251995,0.0461080169104834,0.0496483033399155
"6","2010-2018",0.0577000844415102,0.0564285073159603,0.0589716615670601
