"","x","mean","lower","upper","N"
"1","<1990",4.59949164851126,4.52993542902701,4.6690478679955,6066
"2","1990-1995",5.18683239463974,5.11665430663102,5.25701048264845,6272
"3","1995-2000",5.94619223258841,5.87952886718656,6.01285559799027,9878
"4","2000-2005",6.32775821596244,6.28364528034419,6.37187115158069,24296
"5","2005-2010",6.84998505827274,6.81264013492185,6.88732998162362,40735
"6","2010-2018",7.79478753675989,7.76238770108924,7.82718737243054,89373
