"","x","group","mean","lower","upper","N"
"1","<1990","jif",56.5266500130757,56.0983270680326,56.9549729581189,6066
"2","1990-1995","jif",54.0415864768746,53.6015330274762,54.4816399262729,6272
"3","1995-2000","jif",48.7743411114717,48.3633161545435,49.1853660683999,9878
"4","2000-2005","jif",44.9209707123335,44.6372294786565,45.2047119460105,24296
"5","2005-2010","jif",40.9900598636443,40.7616428356527,41.2184768916358,40735
"6","2010-2018","jif",36.4279013986248,36.271492113028,36.5843106842217,89373
