"","x","group","mean","lower","upper","N"
"1","<1990","jif",57.5597272036064,57.2984710119048,57.8209833953079,6066
"2","1990-1995","jif",56.6221160429342,56.3519665610187,56.8922655248497,6272
"3","1995-2000","jif",55.1279133186076,54.874944088769,55.3808825484461,9878
"4","2000-2005","jif",54.6529870220014,54.4822841402268,54.823689903776,24296
"5","2005-2010","jif",53.3724372422802,53.2312053346218,53.5136691499387,40735
"6","2010-2018","jif",51.8390907683596,51.7389528965345,51.9392286401847,89373
