"","x","group","mean","lower","upper","N"
"1","<1990","<=3",0.357142857142857,0.203362125127367,0.614547352798122,3920
"2","<1990",">3",0.0465983224603914,0.00243248719875251,0.302086720157168,2146
"3","1990-1995","<=3",0.406412282682321,0.248495850398253,0.655329371495163,4429
"4","1990-1995",">3",0.271296798697775,0.0999224302887049,0.67120466448065,1843
"5","1995-2000","<=3",0.959900913454095,0.742762290455312,1.23722083541504,6459
"6","1995-2000",">3",0.0292483182217023,0.00152678537231935,0.189743801037742,3419
"7","2000-2005","<=3",0.514155982905983,0.408644814200841,0.645782816472682,14976
"8","2000-2005",">3",0.268240343347639,0.177433385907293,0.402081191298762,9320
"9","2005-2010","<=3",7.25618785699175,6.93029218864713,7.5960646323113,23635
"10","2005-2010",">3",20.233918128655,19.6356007961013,20.8456710787687,17100
"11","2010-2018","<=3",34.3570639578956,33.9241247478314,34.7926124639922,46171
"12","2010-2018",">3",59.8722281375862,59.4080091068377,60.3346872806267,43202
