"","x","group","mean","lower","upper","N"
"1","<1990","jif",0.247279920870425,0.143708186182112,0.417852765437945,6066
"2","1990-1995","jif",0.366709183673469,0.23811647223549,0.559235656935361,6272
"3","1995-2000","jif",0.637780927313221,0.494401625460091,0.820766349645411,9878
"4","2000-2005","jif",0.419822192953573,0.344127916800552,0.511587242464088,24296
"5","2005-2010","jif",12.7040628452191,12.3829673479379,13.0322186578688,40735
"6","2010-2018","jif",46.6908350396652,46.3633392868661,47.0186157379402,89373
