"","x","group","mean","lower","upper","N"
"1","<1990","<=3",0.102040816326531,0.0326929359201202,0.280299124681149,3920
"2","<1990",">3",0.838769804287046,0.513165915447545,1.350396969751,2146
"3","1990-1995","<=3",0.270941521788214,0.146869676254518,0.48731921569752,4429
"4","1990-1995",">3",2.93000542593597,2.22891122513856,3.83374957633898,1843
"5","1995-2000","<=3",0.712184548691748,0.527746448527721,0.95740407261806,6459
"6","1995-2000",">3",2.19362386662767,1.74063159460163,2.75709792936749,3419
"7","2000-2005","<=3",1.88301282051282,1.67418643230777,2.11689545553128,14976
"8","2000-2005",">3",3.11158798283262,2.77287433293282,3.4895250544127,9320
"9","2005-2010","<=3",5.44108313941189,5.15701757074804,5.73973681480566,23635
"10","2005-2010",">3",8.46783625730994,8.0569731257473,8.8974860065849,17100
"11","2010-2018","<=3",15.8129561846181,15.4819213135985,16.1496978611574,46171
"12","2010-2018",">3",23.4850238414888,23.0865134029072,23.8882628573555,43202
